name,category,title,description,date,keyword
유승민,복지,장애인연금법 일부개정법률안	,,2012-11-06,장애인
유승민,기타,한강수계 상수원수질개선 및 주민지원 등에 관한 법률 일부개정법률안,,2012-11-09,한강수계
유승민,안보,2007년 제2차 남북정상회담 대화록 중 노무현 전 대통령의 북방한계선(NLL) 및 북핵 관련 발언과 2007년 8월 18일 제2차 남북정상회담 추진위원회(위원장 문재인) 회의 보고서ㆍ회의록 등 자료 제출 요구안,,2012-11-15,북방한계선
유승민,안보,국가위기관리기본법안,,2012-11-20,"국가, 위기관리"
유승민,기타,국유재산특례제한법 일부개정법률안,,2012-11-23,국유재산
유승민,기타,조세특례제한법 일부개정법률안,,2012-11-23,조세특례제한
유승민,기타,발명진흥법 일부개정법률안,,2012-12-05,발명진흥법
유승민,기타,전자상거래 등에서의 소비자보호에 관한 법률 일부개정법률안,,2012-12-07,전자상거래
유승민,민생,식품위생법 일부개정법률안,,2012-12-07,식품위생
유승민,안보,특수임무수행자 보상에 관한 법률 일부개정법률안,,2012-12-07,특수임무수행자
유승민,정치,공직선거법 일부개정법률안,,2012-12-10,공직선거
유승민,정치,국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,,2012-12-28,"국가, 당사자, 계약"
유승민,기타,한국투자공사법 일부개정법률안	,,2012-12-28,한국투자공사
유승민,경제,독점규제 및 공정거래에 관한 법률 일부개정법률안,,2012-12-28,독점규제
유승민,복지,국민건강보험법 일부개정법률안,,2012-12-31,건강보험
유승민,기타,석면안전관리법 일부개정법률안	,,2013-01-02,석면
유승민,기타,지방자치법 일부개정법률안,,2013-01-04,지방자치
유승민,민생,인터넷게임중독 치유지원에 관한 법률안,,2013-01-08,게임중독
유승민,민생,인터넷게임중독 예방에 관한 법률안,,2013-01-08,게임중독
유승민,안보,군인사법 일부개정법률안,,2013-01-08,군인사
유승민,안보,군인복지기본법 일부개정법률안,,2013-01-08,군인복지
유승민,안보,지뢰피해자 지원에 관한 특별법안,,2013-01-25,지뢰피해자
유승민,기타,자유무역협정 체결에 따른 농어업인 등의 지원에 관한 특별법 일부개정법률안,,2013-01-30,자유무역협정
유승민,정치,원자력안전법 일부개정법률안,,2013-01-30,원자력
유승민,안보,국가정보화 기본법 일부개정법률안	,,2013-01-30,국가정보화
유승민,기타,해양수산발전 기본법 일부개정법률안	,,2013-01-30,해양수산발전
유승민,사회,산업교육진흥 및 산학연협력촉진에 관한 법률 일부개정법률안	,,2013-01-30,산학연협
유승민,기타,농수산생명자원의 보존·관리 및 이용에 관한 법률 일부개정법률안	,,2013-01-30,농수산
유승민,기타,농어업·농어촌 및 식품산업 기본법 일부개정법률안	,,2013-01-30,농어업
유승민,사회,방송통신위원회의 설치 및 운영에 관한 법률 일부개정법률안	,,2013-01-30,방송통신위원회
유승민,사회,방송법 일부개정법률안	,,2013-01-30,방송법
유승민,사회,과학기술기본법 일부개정법률안	,,2013-01-30,과학기술기본법
유승민,안보,대통령 등의 경호에 관한 법률 일부개정법률안	,,2013-01-30,"대통령, 경호"
유승민,민생,도시와 농어촌 간의 교류촉진에 관한 법률 일부개정법률안	,,2013-01-30,농어촌
유승민,민생,식물신품종 보호법 일부개정법률안	,,2013-01-30,식물신품종
유승민,기타,국가교육과학기술자문회의법 일부개정법률안	,,2013-01-30,국가교육과학기술자문회의
유승민,민생,농어업재해보험법 일부개정법률안	,,2013-01-30,농어업
유승민,기타,한국농수산대학 설치법 일부개정법률안	,,2013-01-30,한국농수산대학
유승민,민생,여성농어업인 육성법 일부개정법률안	,,2013-01-30,"농어업인, 여성"
유승민,기타,뇌연구 촉진법 일부개정법률안	,,2013-01-30,뇌연구
유승민,기타,친환경농어업 육성 및 유기식품 등의 관리·지원에 관한 법률 일부개정법률안,,2013-01-30,친환경농어업
유승민,기타,소금산업 진흥법 일부개정법률안	,,2013-01-30,소금산업
유승민,정치,원자력 진흥법 일부개정법률안,,2013-01-30,원자력
유승민,사회,한국연구재단법 일부개정법률안	,,2013-01-30,한국연구재단
유승민,사회,국가통합교통체계효율화법 일부개정법률안,,2013-01-30,교통체계
유승민,사회,국가초고성능컴퓨터 활용 및 육성에 관한 법률 일부개정법률안	,,2013-01-30,"초고성능, 컴퓨터"
